,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.03224983,0.011846829,0.05087442,-0.053676646,-0.037383124,-0.048366655,0.016377741,0.040869214,-0.029598018,-0.011660084,-0.11155988,-0.0781358,0.14368019,-0.02607951,0.095034726,0.15121433,-0.1000995,0.09874995,-0.010799289,-0.044682868
1,0.04810078,0.09792578,-0.089157775,-0.027963605,0.040976837,0.11664687,-0.06619783,0.00047772005,0.16971216,0.083092496,0.105905674,-0.15653211,-0.07266393,-0.14081267,-0.09631458,0.05930568,-0.054169886,0.04577001,-0.048768487,-0.098184824
2,-0.0019277316,0.041307483,-0.072332725,-0.09504439,-0.01892317,-0.13195065,-0.13864173,0.040801797,-0.020964852,0.068217255,-0.16514131,0.0045592356,-0.1549491,-0.10596295,-0.0104687605,0.14180148,-0.05283156,0.05543117,-0.022277467,0.08410495
3,-0.051561303,0.09563805,0.1399799,-0.04751726,-0.021013774,-0.09183003,-0.013706185,0.09799719,0.043626927,-0.15913166,0.017874323,-0.047783636,-0.1487183,0.07560638,-0.11577771,0.011719491,-0.087969065,0.10543448,-0.06265218,0.038091175
4,-0.06947852,0.0829204,0.16999434,0.0956573,-0.0218359,-0.16312836,-0.038602352,-0.16654336,0.18206736,0.024692439,0.04197151,0.120788366,-0.03597626,-0.029659862,-0.020567913,-0.00077360286,-0.10453945,0.030815147,-0.074795686,0.06119795
5,0.090379424,-0.05990082,-0.08511366,-0.0923917,-0.051154166,-0.018737474,-0.1404495,-0.037038833,0.06953401,-0.010607574,0.17673796,-0.121685185,0.040139765,-0.056770887,-0.002941045,-0.07942217,0.048793375,0.0020300336,-0.0025940603,-0.013220772
6,0.01057262,-0.04958886,-0.0699299,-0.21237618,0.049307786,0.10705023,-0.02176004,0.02218413,-0.18813372,-0.005325783,0.19221152,0.041031078,0.14653376,0.06943503,-0.12307425,0.030377746,-0.12799977,-0.058370665,0.13565212,-0.03298863
7,0.082885355,-0.0018319143,0.09887463,0.041507617,0.046726625,0.03125394,-0.13451603,0.11719182,0.092710674,0.044294756,-0.095434606,0.020807719,0.052378953,-0.107272625,-0.07839838,0.07604212,-0.04356864,-0.1577818,0.08580649,0.085075796
8,-0.11119153,0.010737233,0.13271318,0.051327705,-0.029459776,0.027295861,0.006148182,0.106493756,0.0053273514,0.06420992,-0.0587524,0.051427454,0.096479215,0.004058009,-0.05922892,0.023280703,-0.07823458,0.070743054,-0.0074159484,-0.00077355653
9,0.003329095,-0.102731094,-0.1697563,-0.11915286,0.12135173,0.016293306,0.00546081,0.08927545,0.055443205,-0.05112222,0.06952192,0.06713122,-0.045498572,-0.03425561,-0.020601325,0.07540802,-0.20049128,0.0886959,-0.08109859,-0.12441631
